initial
X	Y
0.0075 1.49687525644e-11
0.0225 1.73833850167e-11
0.0375 2.01784431933e-11
0.0525 2.34123782122e-11
0.0675 2.71523844054e-11
0.0825 3.14756699839e-11
0.0975 3.64709066959e-11
0.1125 4.22398828488e-11
0.1275 4.88993872598e-11
0.1425 5.65833552966e-11
0.1575 6.54453122182e-11
0.1725 7.56611535759e-11
0.1875 8.74323075473e-11
0.2025 1.00989329821e-10
0.2175 1.16595988098e-10
0.2325 1.34553900494e-10
0.2475 1.55207800265e-10
0.2625 1.78951508325e-10
0.2775 2.06234705214e-10
0.2925 2.37570605576e-10
0.3075 2.73544650897e-10
0.3225 3.14824350528e-10
0.3375 3.62170416886e-10
0.3525 4.16449358479e-10
0.3675 4.7864771423e-10
0.3825 5.49888134614e-10
0.3975 6.31447539772e-10
0.4125 7.24777612143e-10
0.4275 8.31527911675e-10
0.4425 9.535719356e-10
0.4575 1.09303648249e-09
0.4725 1.2523347222e-09
0.4875 1.43420341983e-09
0.5025 1.64174481349e-09
0.5175 1.8784737029e-09
0.5325 2.14837036925e-09
0.5475 2.45594001701e-09
0.5625 2.8062795063e-09
0.5775 3.20515223013e-09
0.5925 3.65907208634e-09
0.6075 4.17539759852e-09
0.6225 4.76243735684e-09
0.6375 5.42956807697e-09
0.6525 6.18736671682e-09
0.6675 7.04775824585e-09
0.6825 8.0241808332e-09
0.6975 9.13177040869e-09
0.7125 1.03875667582e-08
0.7275 1.18107435425e-08
0.7425 1.34228648773e-08
0.7575 1.5248171389e-08
0.7725 1.73138989584e-08
0.7875 1.96506336958e-08
0.8025 2.22927070519e-08
0.8175 2.52786353635e-08
0.8325 2.86516085646e-08
0.8475 3.2460033267e-08
0.8625 3.67581359278e-08
0.8775 4.16066323873e-08
0.8925 4.70734706712e-08
0.9075 5.3234654622e-08
0.9225 6.01751566524e-08
0.9375 6.79899287063e-08
0.9525 7.67850213745e-08
0.9675 8.66788220509e-08
0.9825 9.78034240287e-08
0.9975 1.10306139545e-07
1.0125 1.24351170972e-07
1.0275 1.40121455661e-07
1.0425 1.57820701331e-07
1.0575 1.77675630433e-07
1.0725 1.99938453552e-07
1.0875 2.24889593664e-07
1.1025 2.52840685031e-07
1.1175 2.8413787251e-07
1.1325 3.19165439333e-07
1.1475 3.58349793772e-07
1.1625 4.02163847709e-07
1.1775 4.51131822859e-07
1.1925 5.05834523399e-07
1.2075 5.66915116939e-07
1.2225 6.35085469166e-07
1.2375 7.11133081182e-07
1.2525 7.95928682472e-07
1.2675 8.90434536601e-07
1.2825 9.95713521252e-07
1.2975 1.11293904897e-06
1.3125 1.24340590009e-06
1.3275 1.38854204469e-06
1.3425 1.54992153639e-06
1.3575 1.72927856652e-06
1.3725 1.92852277437e-06
1.3875 2.14975591538e-06
